GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Examen1,cr.go.ucr.examen1,ComisionVenta,10,112,4,8,3,13,5,6,1,4
Examen1,cr.go.ucr.examen1,Rango,12,21,0,0,6,8,3,4,3,4
